,skill_clusters,count,mean,median,min,max
20,20,43,108563.67441860466,90000.0,50000.0,172500.0
14,14,14,89494.10857142857,90000.0,79467.52,93450.0
15,15,152,86908.0475986842,103280.0,23.0,207000.0
25,28,875,68845.05509142857,65000.0,12.879999999999999,250000.0
19,19,102,66800.47044117647,70980.0,18.46,157500.0
18,18,339,58267.010457227145,57500.0,21.5,168000.0
11,11,43,46669.63046511628,22.0,19.945,195000.0
3,3,15160,39660.06742908971,86.5,14.42,1050000.0
17,17,179,37855.749441340784,34.0,19.54,187500.0
10,10,11392,6836.19663184691,83.0,18.0,195451.5
12,12,44176,5614.834530174756,83.0,11.0,800000.0
5,5,18409,4602.487387419197,83.0,15.75,235450.0
1,1,114871,3320.2386051745,82.5,13.5,500000.0
4,4,39887,3293.0369228069294,83.0,13.0,295000.0
23,25,14258,2704.8876946275773,83.0,15.0,293100.0
9,9,64870,2612.668046940034,82.5,10.0,435290.0
24,26,419367,1813.6305415304494,82.5,15.0,875000.0
7,7,113138,1705.8409329314643,82.5,15.155000000000001,285000.0
8,8,111810,915.5236087559251,82.5,18.0,306052.5
0,0,3632,898.0395291850219,82.5,56.115,105000.0
26,29,119694,799.1510010109112,82.5,13.75,800000.0
21,21,7094,795.8896955173386,82.5,56.5,170547.5
13,13,7027,653.8406759641383,82.5,17.0,293100.0
2,2,347306,452.0085381767088,82.5,14.0,212500.0
16,16,41337,388.9096414834168,82.5,17.0,182000.0
22,22,3648,82.47793311403508,82.5,42.0,97.5
6,6,1,40.0,40.0,40.0,40.0
