skill,cluster
design,26
transportation,2
troubleshooting,29
coordination,7
psychology,16
monitoring,12
mechanical,5
negotiation,8
writing,1
administrative,9
programming,33
therapy and counseling,16
critical thinking,25
science,3
active listening,13
systems analysis,21
administration and management,9
time management,4
fine arts,22
chemistry,3
equipment selection,0
installation,10
sales and marketing,31
biology,3
speaking,28
english language,18
mathematics,3
physics,3
repairing,17
foreign language,18
operations analysis,6
persuasion,20
telecommunications,15
service orientation,19
instructing,34
equipment maintenance,17
food production,11
education and training,5
geography,30
technology design,26
communications and media,15
complex problem solving,32
operations monitoring,12
reading comprehension,1
learning strategies,13
engineering and technology,5
judgment and decision making,14
production and processing,11
active learning,13
public safety and security,23
systems evaluation,21
building and construction,26
social perceptiveness,24
quality control analysis,27
economics and accounting,31
